Institution Name;English Institution Name;Country Code;Institution Category - English;Name of the city;Geographic coordinates - latitude;Geographic coordinates - longitude;Total students enrolled ISCED 5-7
Hogeschool West-Vlaanderen;Howest, University College West Vlaanderen;BE;University College/University of Applied Science;Kortrijk;50,821961;3,250421;5388
LUCA School of Arts;LUCA School of Arts;BE;University College/University of Applied Science;Schaarbeek;50,857936;4,36792;3029
Karel de Grote-Hogeschool - Katholieke Hogeschool Antwerpen;Karel de Grote University College;BE;University College/University of Applied Science;Antwerpen;51,20238;4,390439;11812
Katholieke Hogeschool Vives Noord;Catholic University College Vives Noord;BE;University College/University of Applied Science;Brugge;51,187424;3,203423;3405
Thomas More Kempen;Thomas More Kempen;BE;University College/University of Applied Science;Geel;51,177663;4,995757;7414
UC Leuven;UC Leuven;BE;University College/University of Applied Science;Leuven;50,861299;4,680773;8375
UC Limburg;UC Limburg;BE;University College/University of Applied Science;Diepenbeek;50,908246;5,406091;4655
Katholieke Hogeschool Vives Zuid;Catholic University College Vives Zuid;BE;University College/University of Applied Science;Kortrijk;50,815474;3,27184;8310
Haute Ecole de Namur-Liège-Luxembourg;University College of Namur - Liège - Luxembourg;BE;University college;Namur;50,4733734;4,854954;m
Arts²;Arts² Academy of Arts;BE;Arts college;Mons;50,4552803;3,9531354;m
ODISEE;ODISEE;BE;University College/University of Applied Science;Brussels;50,84895;4,356442;9549
AP Hogeschool Antwerpen;AP University College Antwerpen;BE;University College/University of Applied Science;Antwerpen;51,219624;4,412155;10537
Hogeschool PXL;PXL University College;BE;University College/University of Applied Science;Hasselt;50,937535;5,347871;7434
Thomas More Mechelen-Antwerpen;Thomas More Mechelen-Antwerpen;BE;University College/University of Applied Science;Mechelen;51,022585;4,487467;7310
Ecole supérieure des Arts - Saint-Luc de Bruxelles;ESA Saint-Luc Bruxelles;BE;Arts college;Brussels;50,8259076;4,3519499;m
Haute Ecole Bruxelles-Brabant;;BE;University college;Brussels;50,8139186;4,3676411;m
"Югозападен университет ""Неофит Рилски""";"South-West University ""Neofit Rilski""";BG;University;Blagoevgrad;42,018538;23,07745;9350
Американски университет в България;American University in Bulgaria;BG;University;Blagoevgrad;42,013046;23,095388;990
Колеж по туризъм - Благоевград;Blagoevgrad College of Tourism;BG;College;Blagoevgrad;42,016739;23,095995;568
Университет “Проф. д-р Асен Златаров”;Burgas Professor Assen Zlatarov University;BG;University;Burgas;42,526552;27,449715;5216
Бургаски свободен университет;Burgas Free University;BG;University;Burgas;42,503572;27,468998;1926
Икономически университет - Варна;University of Economics - Varna;BG;University;Varna;43,209057;27,923601;8597
Технически университет - Варна;Technical University of Varna;BG;University;Varna;43,222892;27,936767;5283
"Медицински университет ""проф. д-р Параскев Стоянов""";"Varna Medical University ""prof. dr. Paraskev Stoyanov""";BG;University;Varna;43,212159;27,92123;4807
"Варненски свободен университет ""Черноризец Храбър""";"Varna Free University ""Chernorizets Hrabar""";BG;University;Varna;43,257637;28,027783;6177
"Висше военноморско училище ""Н. Й. Вапцаров""";Nikola Vaptsarov Naval Academy’;BG;University;Varna;43,21193;27,933013;3092
"Великотърновски университет ""Св. св. Кирил и Методий""";St. Cyril and St. Methodius University of Veliko Tarnovo;BG;University;Veliko Tarnovo;43,078432;25,649235;9818
Националeн военен университет “Васил Левски;Vasil Levski National Military University;BG;University;Veliko Tarnovo;43,08223;25,60191;2290
"Стопанска академия ""Д. А. Ценов"" - Свищов";D.A.Tsenov Academy of Economics;BG;University;Svishtov;43,620886;25,344541;8478
Технически университет - Габрово;Technical University of Gabrovo;BG;University;Gabrovo;42,875467;25,316204;c
Висше училище по мениджмънт;Varna University of Management;BG;College;Dobrich;43,211943;27,909173;382
Медицински университет - Плевен;Medical University - Pleven;BG;University;Pleven;43,410573;24,626813;2179
"Пловдивски университет ""Паисий Хилендарски""";Paisii Hilendarski University of Plovdiv;BG;University;Plovdiv;42,13825;24,751393;16545
Университетът по хранителни технологии;University of Food Technologies – Plovdiv;BG;University;Plovdiv;42,1523;24,7322;c
Аграрен университет – Пловдив;Agricultural University – Plovdiv;BG;University;Plovdiv;42,134155;24,765492;3235
Медицински университет - Пловдив;Medical University of Plovdiv;BG;University;Plovdiv;42,139783;24,735167;6024
Академия за музикално, танцово и изобразително изкуство;Academy of Music, Dance and Fine Arts;BG;University;Plovdiv;42,147571;24,751333;810
Висше училище по агробизнес и развитие на регионите;University of Agribusiness and Rural Development;BG;University;Plovdiv;42,162524;24,744902;4484
Висше училище по сигурност и икономика;University of Security and Economics;BG;College;Plovdiv;42,121311;24,761049;1874
Европейско висше училище по икономика и мениджмънт;European Higher School of Economics and Management;BG;College;Plovdiv;42,128716;24,721032;1816
"Русенски университет ""Ангел Кънчев""";Angel Kanchev University of Ruse;BG;University;Ruse;43,854554;25,970175;7626
"Софийски университет ""Св. Климент Охридски""";Sofia University St. Kliment Ohridski;BG;University;Sofia;42,693508;23,334793;22549
Университет за национално и световно стопанство;University of National and World Economy;BG;University;Sofia;42,651266;23,348848;21984
Университет по архитектура, строителство и геодезия;University of Architecture, Civil Engineering and Geodesy;BG;University;Sofia;42,684777;23,330903;3306
Технически Университет - София;Technical University of Sofia;BG;University;Sofia;42,657061;23,355109;12481
Химикотехнологичен и металургичен университет;University of Chemical Technology and Metallurgy;BG;University;Sofia;42,655332;23,35845;2978
"Минно-геоложкият университет ""Св. Иван Рилски""";St. Ivan Rilski University of Mining and Geology;BG;University;Sofia;42,660106;23,352877;2899
Лесотехнически университет;University of Forestry;BG;University;Sofia;42,653718;23,358636;2674
Медицински университет - София;Medical University - Sofia;BG;University;Sofia;42,683857;23,307348;9912
