Institution Name;English Institution Name;Country Code;Institution Category - English;Total students enrolled ISCED 5-7;Total students enrolled at ISCED 8
Висока здравственo-санитарна школа струковних студија ВИСАН;Highеr School health - sanitary of Vocational Studies Visan - Belgrade (Zemun);RS;m;790;a
Visoka poslovna škola strukovnih studija u Novom Sadu;Higher Business School of Vocational Studies - Novi Sad;RS;m;1347;a
ВИСОКА ТЕХНИЧКА ШКОЛА СТРУКОВНИХ СТУДИЈА ПОЖАРЕВАЦ;Higher Technical School of Vocational Studies - Pozarevac;RS;m;632;a
Висока текстилна струковна школа за дизајн, технологију и менаџмент у Београду;Higher School of Vocational Studies for Textile Design, Technology and Management - Belgrade;RS;m;449;a
Visoka škola strukovnih studija za obrazovanje vaspitača u Novom Sadu;Higher school of Vocational Studies in Education of Teachers - Novi Sad;RS;m;560;a
Висока пословна школа струковних студија Лесковац;Higher Business School of Vocational Studies - Leskovac;RS;m;1014;a
Висока медицинска и пословно-технолошка школа струковних студија у Шапцу;Highеr Medical and Business - Technological School of Vocational Studies - Sabac;RS;m;839;a
Visoka škola strukovnih studija za informacione tehnologije;Higher school of Vocational Studies for Information Technologies - Belgrade (Zemun);RS;m;892;a
Висока инжењерска школа струковних студија - ТЕХНИКУМ ТАУРУНУМ;Higher Engineering school of Vocational Studies  - Belgrade (Zemun);RS;m;943;a
Visoka turistička škola strukovnih studija Beograd;Higher Tourism School of Vocational Studies - Belgrade;RS;m;1196;a
Универзитет УНИОН – Београд;Union University Belgrade;RS;Private university;2896;53
ВИСОКА ПОСЛОВНА ШКОЛА СТРУКОВНИХ СТУДИЈА БЛАЦЕ;Higher Business School of Vocational Studies - Blace;RS;m;1268;a
Универзитета одбране у Београду;University of Defence Belgrade;RS;State university;867;10
Висока школа струковних студија за образовање васпитача и тренера у Суботици;Higher school of Vocational Studies in Education of Teachers - Subotica;RS;m;499;a
Visoka škola strukovnih studija za ekonomiju i upravu;Higher School of Vocational Studies of Economics and Administration - Belgrade;RS;m;237;a
Висока школа струковних студија за васпитаче - Крушевац;Higher school of Vocational Studies for Teachers - Krusevac;RS;m;454;a
Visoka škola strukovnih studija za obrazovanje vaspitača “Mihailo Pavlov”;Higher school of Vocational Studies for Teachers - Vrsac;RS;m;377;a
Uppsala universitet;Uppsala University;SE;University;35819;2419
Lunds universitet;Lund University;SE;University;33228;2798
Göteborgs universitet;University of Gothenburg;SE;University;36701;1794
Stockholms universitet;Stockholm University;SE;University;44015;1620
Umeå universitet;Umeå university;SE;University;25574;1029
Linköpings universitet;Linköping University;SE;University;21505;1256
Karolinska institutet;Karolinska Institutet;SE;University;8610;2555
Kungliga Tekniska högskolan;KTH Royal Institute of Technology;SE;University;16104;1987
Chalmers tekniska högskola;Chalmers University of Technology;SE;University;9576;1239
Luleå tekniska universitet;Luleå University of Technology;SE;University;11329;559
Handelshögskolan i Stockholm;Stockholm School of Economics;SE;University;1768;141
Sveriges lantbruksuniversitet;Swedish University of Agricultural Sciences;SE;University;4693;556
Karlstads universitet;Karlstad University;SE;University;12200;253
Örebro universitet;Örebro University;SE;University;12979;442
Mittuniversitetet;Mid-Sweden University;SE;University;12389;191
Blekinge tekniska högskola;Blekinge Institute of Technology;SE;University college;4740;108
Stiftelsen Högskolan i Jönköping;Jönköping University;SE;University college;9750;204
Malmö högskola;Malmö University;SE;University college;17322;197
Mälardalens högskola;Mälardalen University;SE;University college;14243;226
Gymnastik- och idrottshögskolan;Swedish School of Sport and Health Sciences, GIH;SE;University college;1117;18
Högskolan i Borås;University of Borås;SE;University college;7278;76
Högskolan Dalarna;Dalarna University;SE;University college;12227;12
Högskolan i Gävle;University of Gävle;SE;University college;11789;41
Högskolan i Halmstad;Halmstad University;SE;University college;7924;66
Högskolan Kristianstad;Kristianstad University;SE;University college;10898;a
Högskolan i Skövde;University of Skövde;SE;University college;5625;41
Högskolan Väst;University West;SE;University college;8025;53
Södertörns högskola;Södertörn University;SE;University college;9094;77
Försvarshögskolan;Swedish Defence University;SE;University college;764;a
Konstfack;University of Arts, Crafts and Design;SE;University college;763;a
Kungliga Konsthögskolan;Royal Institute of Art;SE;University college;234;a
Kungliga Musikhögskolan i Stockholm;Royal College of Music in Stockholm;SE;University college;924;a
Ersta Sköndal Bräcke högskola;Ersta Sköndal Bräcke University College;SE;University college;1442;15
Röda Korsets högskola;The Red Cross University College;SE;University college;909;a
Sophiahemmet högskola;Sophiahemmet University;SE;University college;932;a
Linnéuniversitetet;Linnaeus University;SE;University;25376;289
Stockholms konstnärliga Högskola;Stockholm University of the Arts;SE;University college;712;a
Univerza v Ljubljani;University of Ljubljana;SI;University;38750;1534
Univerza v Mariboru;University of Maribor;SI;University;13873,5;374
Univerza na Primorskem;University of Primorska;SI;University;4999;109
Univerza v Novi Gorici;University of Nova Gorica;SI;University;409;79
Gea College - Fakulteta za podjetništvo;GEA Faculty of Entrepreneurship;SI;Free-standing higher education institutions;287;a
Fakulteta za upravljanje, poslovanje in informatiko Novo mesto;Faculty of Business, Management and Informatics Novo mesto;SI;Free-standing higher education institutions;105;a
Fakulteta za komercialne in poslovne vede;Faculty of Commercial and Business Sciences;SI;Free-standing higher education institutions;553;11
DOBA Fakulteta za uporabne poslovne in družbene študije;DOBA Business School;SI;Free-standing higher education institutions;1070;a
Fakulteta za zdravstvo Angele Boškin;Angela Boškin Faculty Of Health Care;SI;Free-standing higher education institutions;336;a
Fakulteta za državne in evropske študije;Faculty of Government and European Studies;SI;Free-standing higher education institutions;269;25
Evropska pravna fakulteta;European Faculty of Law in Nova Gorica;SI;Free-standing higher education institutions;809;52
Fakulteta za uporabne družbene študije v Novi Gorici;School of Advanced Social Studies in Nova Gorica;SI;Free-standing higher education institutions;271;27
Mednarodna fakulteta za družbene in poslovne študije;International School for Social and Business Studies;SI;Free-standing higher education institutions;394;9
Fakulteta za informacijske študije v Novem mestu;Faculty of Information Studies in Novo mesto;SI;Free-standing higher education institutions;212;17
Fakulteta za dizajn, samostojni visokošolski zavod, pridružena članica Univerze na Primorskem;Faculty of design, associated member of University of Primorska;SI;Free-standing higher education institutions;338;a
Univerza v Novem mestu Fakulteta za zdravstvene vede;University of Novo mesto Faculty of health sciences;SI;Free-standing higher education institutions;394;16
Visoka šola za varstvo okolja;Environmental Protection College;SI;Free-standing higher education institutions;138;a
Visoka šola za storitve v Ljubljani;Higher School of Applied Sciences;SI;Free-standing higher education institutions;203;a
Visoka zdravstvena šola v Celju;College of Nursing in Celje;SI;Free-standing higher education institutions;180;a
Mednarodna podiplomska šola Jožefa Stefana;Jožef Stefan International Postgraduate School;SI;Free-standing higher education institutions;19;146
Evro-sredozemska univerza;Euro-Mediterranean University;SI;University;m;a
Alma Mater Europaea  - Evropski center, Maribor;Alma Mater Europaea - European Centre Maribor (ESM);SI;Free-standing higher education institutions;1057;61
Fakulteta za poslovne in upravne vede Novo mesto;Faculty of business and management sciences Novo mesto;SI;Free-standing higher education institutions;30;10
Fakulteta za poslovne vede;Faculty of business studies;SI;Free-standing higher education institutions;26;a
Fakulteta za medije;Faculty of Media;SI;Free-standing higher education institutions;52;6
Fakulteta za industrijski inženiring Novo mesto;Faculty of Industrial Engineering, Novo mesto;SI;Free-standing higher education institutions;158;m
Fakulteta za organizacijske študije v Novem mestu;Faculty of Organisation Studies Novo mesto;SI;Free-standing higher education institutions;57;30
Poslovna šola Bled, Fakulteta za podiplomski študij managementa;IEDC-Bled School of Management;SI;Free-standing higher education institutions;79;11
Alma Mater Europaea - Institutum Studiorum Humanitatis Fakulteta za podiplomski humanistični študij;Alma Mater Europaea – Institutum Studiorum Humanitatis, Graduate School of the Humanities, Ljubljana;SI;Free-standing higher education institutions;7;38
Alma Mater Europaea - Akademija za ples, samostojni visokošolski zavod;Academy of dance;SI;Free-standing higher education institutions;6;a
ArtHouse - Šola za risanje in slikanje;College of Visual Arts;SI;Free-standing higher education institutions;85;a
Visoka šola za proizvodno inženirstvo, Celje;College of Industrial Engineering;SI;Free-standing higher education institutions;29;a
Fakulteta za tehnologije in sisteme;Faculty of Technology and Systems;SI;Free-standing higher education institutions;52;a
Visoka poslovna šola Erudio;ERUDIO Business school;SI;Free-standing higher education institutions;97;a
Visoka šola za hotelirstvo in turizem Bled;College of hospitality and tourism management Bled;SI;Free-standing higher education institutions;35;a
B2 Visoka šola za poslovne vede, zavod;Ljubljana School of Business;SI;Free-standing higher education institutions;172;a
Visoka šola za računovodstvo in finance;College of accounting and finance;SI;Free-standing higher education institutions;80;a
Visoka šola za tehnologijo polimerov;Polymer Technology College;SI;Free-standing higher education institutions;91;a
Visoka šola za trajnostni turizem Erudio, samostojni visokošolski zavod;ERUDIO School of Sustainable Tourism;SI;Free-standing higher education institutions;33;a
Visoka šola za zdravstvene vede Slovenj Gradec;University College of Health Sciences Slovenj Gradec;SI;Free-standing higher education institutions;122;a
IBS Mednarodna poslovna šola Ljubljana;IBS International Business School Ljubljana;SI;Free-standing higher education institutions;39;a
IAM Visoka šola za multimedije, Ljubljana;IAM College for Multimedia, Ljubljana;SI;Free-standing higher education institutions;56;a
Visoka šola Ravne na Koroškem;College of Ravne na Koroškem;SI;Free-standing higher education institutions;7;a
Visoka šola na Ptuju;College of Ptuj;SI;Free-standing higher education institutions;7;a
Visoka šola za upravljanje podeželja Grm Novo mesto;Landscape Governance College Grm Novo mesto;SI;Free-standing higher education institutions;32;a
B&B Visokošolski zavod Kranj;B&B Higher education institution Kranj;SI;Free-standing higher education institutions;48;a
Podiplomska šola ZRC SAZU;Postgraduate School ZRC SAZU;SI;Free-standing higher education institutions;a;27
MLC Fakulteta za management in pravo Ljubljana;MLC Management and law college Ljubljana;SI;Free-standing higher education institutions;114;a
Visoka šola za gradbeno inženirstvo Kranj;College of civil engineering Kranj;SI;Free-standing higher education institutions;53;a
Visokošolski zavod Fizioterapevtika;Higher educational institution Fizioterapevtika;SI;Free-standing higher education institutions;102;a
Akademija za vizualne umetnosti - AVA;Academy of Visual Arts - AVA;SI;Free-standing higher education institutions;23;a
AREMA - Visoka šola za regionalni management Rogaška Slatina;AREMA - Academy for regional management;SI;Free-standing higher education institutions;50;a
Univerzita Komenského v Bratislave;Comenius University in Bratislava;SK;University;19531;1095
Univerzita Pavla Jozefa Šafárika v Košiciach;Pavol Jozef Šafárik University in Košice;SK;University;6272;358
Prešovska Univerzita v Prešove;University of Prešov in Prešov;SK;University;7203;137
Univerzita Sv. Cyrila A Metoda v Trnave;University of Ss. Cyril and Methodius in Trnava;SK;University;4541;110
Katolická Univerzita v Ružomberku;Catholic University in Ružomberok;SK;University;2897;89
Univerzita J. Selyeho v Komárne;Selye János University in Komárno;SK;University;1348;24
Vysoká škola Danubius;College Danubius;SK;HEI;129;0
Paneurópska vysoká škola;Pan-European University;SK;HEI;1202;45
Slovenská Zdravotnícka Univerzita v Bratislave;Slovak Medical University in Bratislava;SK;University;1235;12
Vysoká Škola Zdravotníctva A Sociálnej Práce Sv. Alžbety v Bratislave, N.O.;St. Elizabeth University of Health and Social Work in Bratislava, n. o.;SK;HEI;1852;0
Univerzita Veterinárskeho Lekárstva v Košiciach;University of Veterinary Medicine in Košice;SK;University;1796;74
Univerzita Konštantína Filozofa v Nitre;Constantine the Philosopher Univeristy in Nitra;SK;University;6168;195
Univerzita Mateja Bela v Banskej Bystrici;Matej Bel University in Banská Bystrica;SK;University;6038;161
Trnavská Univerzita v Trnave;University of Trnava in Trnava;SK;University;3477;71
Slovenská Technická Univerzita v Bratislave;Slovak University of Technology in Bratislava;SK;University;12225;635
Technická Univerzita v Košiciach;Technical University of Košice;SK;University;7765;340
Dubnický Technologický Inštitút V Dubnici Nad Váhom;Dubnica Technology Institute in Dubnica nad Váhom;SK;HEI;177;a
Žilinská Univerzita v Žiline;University of Žilina in Žilina;SK;University;6992;264
Trenčianska Univerzita Alexandra Dubčeka v Trenčíne;Alexander Dubček University of Trenčín in Trenčín;SK;University;1651;15
Ekonomická Univerzita v Bratislave;University of Economics in Bratislava;SK;University;6691;135
Vysoká Škola Ekonómie A Manažmentu Verejnej Správy v Bratislave;School of Economics and Management of Public Administration in Bratislava;SK;HEI;447;a
Vysoká Škola Manažmentu v Trenčíne;School of Management in Trenčín;SK;HEI;494;s
Stredoeurópska Vysoká Škola v Skalici;University of Central Europe in Skalica;SK;HEI;95;0
Vysoká Škola Medzinárodného Podnikania Ism Slovakia v Prešove;College of International Business ISM Slovakia in Prešov;SK;HEI;150;a
Slovenská Poľnohospodárska Univerzita v Nitre;Slovak University of Agriculture in Nitra;SK;University;6059;117
Technická Univerzita vo Zvolene;University of Technology in Zvolen;SK;University;2284;88
Vysoká Škola Múzických Umení v Bratislave;Academy of Performing Arts in Bratislava;SK;HEI;925;38
Vysoká Škola Výtvarných Umení v Bratislave;Academy of Fine Arts and Design in Bratislava;SK;HEI;581;41
Akadémia Umení v Banskej Bystrici;Academy of Arts in Banská Bystrica;SK;HEI;492;28
Akadémia Ozbrojených Síl Generála Milana Rastislava Štefánika V Liptovskom Mikuláši;Armed Forces Academy of General Milan Rastislav Štefánik in Liptovský Mikuláš;SK;HEI;219;0
Akadémia Policajného Zboru v Bratislave;Police Academy in Bratislava;SK;HEI;565;s
Vysoká Škola Bezpečnostného Manažérstva v Košiciach;Security Management College in Košice;SK;HEI;443;a
Abant İzzet Baysal Üniversitesi;Abant İzzet Baysal University;TR;State University;29877;364
Abdullah Gül Üniversitesi;Abdullah Gül University;TR;State University;711;53
Adana Bilim ve Teknoloji Üniversitesi;Adana Science and Technology University;TR;State University;1430;s
Adıyaman Üniversitesi;Adıyaman University;TR;State University;20401;61
Adnan Menderes Üniversitesi;Adnan Menderes University;TR;State University;51560;457
Afyon Kocatepe Üniversitesi;Afyon Kocatepe University;TR;State University;45119;310
Ağrı İbrahim Çeçen Universitesi;Ağrı İbrahim Çeçen University;TR;State University;10888;0
Ahi Evran Üniversitesi;Ahi Evran University;TR;State University;19130;39
Akdeniz Üniversitesi;Akdeniz University;TR;State University;64883;1012
Aksaray Üniversitesi;Aksaray University;TR;State University;22405;130
Amasya Üniversitesi;Amasya University;TR;State University;16921;14
Anadolu Üniversitesi;Anadolu University;TR;State University;3021141;2053
Ankara Üniversitesi;Ankara University;TR;State University;58935;5613
Artvin Çoruh Üniversitesi;Artvin Çoruh University;TR;State University;9289;18
Ardahan Üniversitesi;Ardahan University;TR;State University;4999;30
Atatürk Üniversitesi;Atatürk University;TR;State University;273553;2891
Balıkesir Üniversitesi;Balıkesir University;TR;State University;36449;331
Bartın Üniversitesi;Bartın University;TR;State University;14174;65
Batman Üniversitesi;Batman University;TR;State University;12463;16
Bayburt Üniversitesi;Bayburt University;TR;State University;9181;5
Bilecik Şeyh Edebali Üniversitesi;Bilecik Şeyh Edebali University;TR;State University;16819;67
Bingöl Üniversitesi;Bingöl University;TR;State University;14051;54
Bitlis Eren Üniversitesi;Bitlis Eren University;TR;State University;8545;8
Boğaziçi Üniversitesi;Boğaziçi University;TR;State University;15192;1461
Bozok Üniversitesi;Bozok University;TR;State University;15906;29
Bursa Teknik Üniversitesi;Bursa Teknik University;TR;State University;2444;57
Bülent Ecevit Üniversitesi;Bülent Ecevit University;TR;State University;32375;223
Manisa Celal Bayar Üniversitesi;Manisa Celal Bayar University;TR;State University;52282;539
Cumhuriyet Üniversitesi;Cumhuriyet University;TR;State University;54346;332
Çanakkale Onsekiz Mart Üniversitesi;Çanakkale Onsekiz Mart University;TR;State University;47595;483
Çankırı Karatekin Üniversitesi;Çankırı Karatekin University;TR;State University;13762;44
Çukurova Üniversitesi;Cukurova University;TR;State University;52404;1562
Dicle Üniversitesi;Dicle University;TR;State University;31604;686
Dokuz Eylül Üniversitesi;Dokuz Eylül University;TR;State University;71521;2009
Dumlupınar  Üniversitesi;Dumlupınar University;TR;State University;55361;387
Düzce Üniversitesi;Düzce University;TR;State University;27013;234
Ege Üniversitesi;Ege University;TR;State University;59936;2644
Erciyes Üniversitesi;Erciyes University;TR;State University;60521;1440
Erzincan Üniversitesi;Erzincan University;TR;State University;22119;87
Erzurum Teknik Üniversitesi;Erzurum Technical University;TR;State University;3378;17
Eskişehir Osmangazi Üniversitesi;Eskişehir Osmangazi University;TR;State University;29365;1010
Fırat Üniversitesi;Fırat University;TR;State University;40486;738
Galatasaray Üniversitesi;Galatasaray University;TR;State University;4346;313
Gazi Üniversitesi;Gazi University;TR;State University;74384;5349
Gaziantep Üniversitesi;Gaziantep University;TR;State University;48835;797
Gaziosmanpaşa Üniversitesi;Gaziosmanpaşa University;TR;State University;32197;377
Gebze Teknik Üniversitesi;Gebze Technical University;TR;State University;6085;781
Giresun Üniversitesi;Giresun University;TR;State University;29399;70
Gümüşhane Üniversitesi;Gümüşhane University;TR;State University;18107;21
Hacettepe Üniversitesi;Hacettepe University;TR;State University;46807;4018
Hakkari Üniversitesi;Hakkari University;TR;State University;2176;0
Harran Üniversitesi;Harran University;TR;State University;22608;175
Hitit Üniversitesi;Hitit University;TR;State University;17117;134
Iğdır Üniversitesi;Iğdır University;TR;State University;5818;s
İstanbul Medeniyet Üniversitesi;İstanbul Medeniyet University;TR;State University;3995;164
Inönü Üniversitesi;İnönü University;TR;State University;40920;1056
İstanbul Üniversitesi;İstanbul University;TR;State University;243929;7844
İstanbul Teknik Üniversitesi;İstanbul Technical University;TR;State University;35308;4021
İzmir Kâtip Çelebi Üniversitesi;İzmir Kâtip Çelebi University;TR;State University;9827;260
İzmir Yüksek Teknoloji Enstitüsü;İzmir Institute of Technology;TR;State University;4367;472
Kafkas Üniversitesi;Kafkas University;TR;State University;18541;117
Kahramanmaraş Sütçü İmam Üniversitesi;Kahramanmaraş Sütçü İmam University;TR;State University;36221;485
Karabük Üniversitesi;Karabük University;TR;State University;50275;369
Karamanoğlu Mehmetbey Üniversitesi;Karamanoğlu Mehmetbey University;TR;State University;14123;14
Karadeniz Teknik Üniversitesi;Karadeniz Technical University;TR;State University;55395;1481
Kastamonu Üniversitesi;Kastamonu University;TR;State University;26696;215
Kırıkkale Üniversitesi;Kırıkkale University;TR;State University;37105;587
Kırklareli Üniversitesi;Kırklareli University;TR;State University;24687;19
Kilis 7 Aralık Üniversitesi;Kilis 7 Aralık University;TR;State University;8122;s
Kocaeli Üniversitesi;Kocaeli University;TR;State University;79322;1022
Mardin Artuklu Üniversitesi;Mardin Artuklu University;TR;State University;8339;40
Marmara Üniversitesi;Marmara University;TR;State University;77048;4211
Mehmet Akif Ersoy Üniversitesi;Mehmet Akif Ersoy University;TR;State University;28633;126
Mersin Üniversitesi;Mersin University;TR;State University;44329;520
Mimar Sinan Güzel Sanatlar Üniversitesi;Mimar Sinan Fine Arts University;TR;State University;9749;510
Muğla Sıtkı Koçman Üniversitesi;Muğla Sıtkı Koçman University;TR;State University;42564;423
Mustafa Kemal Üniversitesi;Mustafa Kemal University;TR;State University;23745;216
Muş Alparslan Üniversitesi;Muş Alparslan University;TR;State University;8712;0
Namık Kemal Üniversitesi;Namık Kemal University;TR;State University;33018;254
Necmettin Erbakan Üniversitesi;Necmetin Erbakan University;TR;State University;33038;738
Nevşehir Hacı Bektaş Veli Üniversitesi;Nevşehir Hacı Bektaş Veli University;TR;State University;17685;140
Niğde Ömer Halisdemir Üniversitesi;Niğde Ömer Halisdemir University;TR;State University;26216;211
Ondokuz Mayıs Üniversitesi;Ondokuz Mayıs University;TR;State University;53114;1236
Ordu Üniversitesi;Ordu University;TR;State University;19980;79
Orta Doğu Teknik Üniversitesi;Middle East Technical University;TR;State University;25473;3306
Osmaniye Korkut Ata Üniversitesi;Osmaniye Korkut Ata University;TR;State University;13007;59
Pamukkale Üniversitesi;Pamukkale University;TR;State University;56519;650
Recep Tayyip Erdoğan Üniversitesi;Recep Tayyip Erdoğan University;TR;State University;19002;153
Sakarya Üniversitesi;Sakarya University;TR;State University;87693;1887
Selçuk Üniversitesi;Selçuk University;TR;State University;93149;2307
Siirt Üniversitesi;Siirt University;TR;State University;11047;11
Sinop Üniversitesi;Sinop University;TR;State University;9239;28
Süleyman Demirel Üniversitesi;Süleyman Demirel University;TR;State University;82318;1364
Şırnak Üniversitesi;Şırnak University;TR;State University;2787;0
Trakya Üniversitesi;Trakya University;TR;State University;45218;547
Munzur Üniversitesi;Munzur University;TR;State University;6723;10
Türk-Alman Üniversitesi;Turkish-German University;TR;State University;881;s
Uludağ Üniversitesi;Uludağ University;TR;State University;67333;1642
Uşak Üniversitesi;Uşak University;TR;State University;29575;154
Yalova Üniversitesi;Yalova University;TR;State University;14010;174
Ankara Yıldırım Beyazıt Üniversitesi;Ankara Yıldırım Beyazıt University;TR;State University;12894;1117
Yıldız Teknik Üniversitesi;Yıldız Technical University;TR;State University;33138;2427
Yüzüncü Yıl Üniversitesi;Yüzüncü Yıl University;TR;State University;29179;341
Acıbadem Üniversitesi;Acıbadem University;TR;Foundation University;3707;46
Alanya Hamdullah Emin Paşa Üniversitesi;Alanya Hamdullah Emin Paşa University;TR;Foundation University;267;0
Atılım Üniversitesi;Atılım University;TR;Foundation University;8931;177
Avrasya Üniversitesi;Avrasya University;TR;Foundation University;6855;13
Bahçeşehir Üniversitesi;Bahçeşehir University;TR;Foundation University;22831;348
Başkent Üniversitesi;Başkent University;TR;Foundation University;13835;362
Beykent Üniversitesi;Beykent University;TR;Foundation University;31723;171
Bezmiâlem Vakıf Üniversitesi;Bezmiâlem Foundation University;TR;Foundation University;2982;55
Çağ Üniversitesi;Çağ University;TR;Foundation University;4814;23
Çankaya Üniversitesi;Çankaya University;TR;Foundation University;8626;89
Doğuş Üniversitesi;Doğuş University;TR;Foundation University;6424;118
Fatih Sultan Mehmet Vakıf Üniversitesi;Fatih Sultan Mehmet Vakif University;TR;Foundation University;6089;93
İstanbul Gedik Üniversitesi;İstanbul Gedik University;TR;Foundation University;4208;41
Haliç Üniversitesi;Haliç University;TR;Foundation University;10482;174
Hasan Kalyoncu Üniversitesi;Hasan Kalyoncu University;TR;Foundation University;7620;108
Işık Üniversitesi;Işık University;TR;Foundation University;7106;72
İhsan Doğramacı Bilkent Üniversitesi;İhsan Doğramacı Bilkent University;TR;Foundation University;11996;574
İstanbul 29 Mayıs Üniversitesi;İstanbul 29 Mayıs University;TR;Foundation University;1361;37
İstanbul Arel Üniversitesi;İstanbul Arel University;TR;Foundation University;19308;170
İstanbul Aydın Üniversitesi;İstanbul Aydın University;TR;Foundation University;38322;315
İstanbul Bilgi Üniversitesi;İstanbul Bilgi University;TR;Foundation University;29025;348
İstanbul Bilim Üniversitesi;İstanbul Bilim University;TR;Foundation University;2936;4
İstanbul Gelişim Üniversitesi;İstanbul Gelişim University;TR;Foundation University;22529;110
İstanbul Kemerburgaz Üniversitesi;Istanbul Kemerburgaz University;TR;Foundation University;7240;64
İstanbul Kültür Üniversitesi;İstanbul Kültür University;TR;Foundation University;14599;174
İstanbul Medipol Üniversitesi;İstanbul Medipol University;TR;Foundation University;20238;235
İstanbul Sabahattin Zaim Üniversitesi;İstanbul Sabahattin Zaim University;TR;Foundation University;6754;299
İstanbul Şehir Üniversitesi;İstanbul Şehir University;TR;Foundation University;4821;27
İstanbul Ticaret Üniversitesi;İstanbul Commerce University;TR;Foundation University;8046;416
İzmir Ekonomi Üniversitesi;İzmir University of Economics;TR;Foundation University;9893;69
Kadir Has Üniversitesi;Kadir Has University;TR;Foundation University;6722;271
Koç Üniversitesi;Koç University;TR;Foundation University;7349;581
KTO Karatay Üniversitesi;KTO Karatay University;TR;Foundation University;5966;10
Maltepe Üniversitesi;Maltepe University;TR;Foundation University;11361;389
Nişantaşı Üniversitesi;Nişantaşı University;TR;Foundation University;22031;11
Nuh Naci Yazgan Üniversitesi;Nuh Naci Yazgan University;TR;Foundation University;3197;0
Okan Üniversitesi;Okan University;TR;Foundation University;23411;259
Özyeğin Üniversitesi;Özyeğin University;TR;Foundation University;7434;158
Piri Reis Üniversitesi;Piri Reis University;TR;Foundation University;3079;34
Sabancı Üniversitesi;Sabancı University;TR;Foundation University;4420;284
TED Üniversitesi;TED University;TR;Foundation University;2024;0
TOBB Ekonomi ve Teknoloji Üniversitesi;TOBB University of Economics and Technology;TR;Foundation University;5929;200
Toros Üniversitesi;Toros University;TR;Foundation University;3718;s
Türk Hava Kurumu Üniversitesi;University of Turkish Aeronautical Association;TR;Foundation University;6268;157
Ufuk Üniversitesi;Ufuk University;TR;Foundation University;5124;11
Uluslararası Antalya Üniversitesi;Uluslararası Antalya University;TR;Foundation University;2400;0
Üsküdar Üniversitesi;Üsküdar University;TR;Foundation University;13432;10
Yaşar Üniversitesi;Yaşar University;TR;Foundation University;10511;153
Yeditepe Üniversitesi;Yeditepe University;TR;Foundation University;24739;1190
İstanbul Yeni Yüzyıl Üniversitesi;İstanbul Yeni Yüzyıl University;TR;Foundation University;8707;19
Avrupa Meslek Yüksekokulu;European Vocational School;TR;Foundation Vocational Training School;2291;a
Beykoz Üniversitesi;Beykoz University;TR;Foundation Vocational Training School;2069;a
Faruk Saraç Tasarım Meslek Yüksekokulu;Faruk Saraç Vocational School of Design;TR;Foundation Vocational Training School;505;a
İstambul Kavram Meslek Yüksekokulu;İstambul Kavram Meslek Yüksekokulu;TR;Foundation Vocational Training School;3993;a
Kapadokya Üniversitesi;Cappadocia University;TR;Foundation Vocational Training School;3818;a
İstanbul Ayvansaray Üniversitesi;İstanbul Ayvansaray University;TR;Foundation Vocational Training School;5387;a
Polis Akademisi;Turkish National Police Academy;TR;Other higher education institutions;m;m
MEF Üniversitesi;MEF University;TR;Foundation University;1915;0
Istanbul Şişli Meslek Yüksekokulu;İstanbul Şisli Vocational School;TR;Foundation Vocational Training School;2520;a
Ataşehir Adıgüzel Meslek Yüksekokulu;Ataşehir Adıgüzel Vocational School;TR;Foundation Vocational Training School;1681;a
Ankara Sosyal Bilimler Üniversitesi;Social Sciences University of Ankara;TR;State University;447;0
İstanbul Esenyurt Üniversitesi;İstanbul Esenyurt University;TR;Foundation University;5761;0
Sanko Üniversitesi;Sanko University;TR;Foundation University;923;0
Konya Gıda Ve Tarım Üniversitesi;Konya Food and Agriculture University;TR;Foundation University;102;0
Yüksek İhtisas Üniversitesi;Yüksek İhtisas University;TR;Foundation University;299;0
Biruni Üniversitesi;Biruni University;TR;Foundation University;6512;s
Bandırma Onyedi Eylül Üniversitesi;Bandırma Onyedi Eylül University;TR;State University;9877;8
İskenderun Teknik Üniversitesi;İskenderun Technical University;TR;State University;13954;49
Alanya Alaaddin Keykubat Üniversitesi;Alanya Alaaddin Keykubat University;TR;State University;8100;14
İstanbul Rumeli Üniversitesi;İstanbul Rumeli University;TR;Foundation University;676;0
İstinye Üniversitesi;İstinye University;TR;Foundation University;604;0
Sağlık Bilimleri Üniversitesi;University of Health Sciences;TR;State University;2225;65
İzmir Bakırçay Üniversitesi;İzmir Bakırçay University;TR;Foundation University;m;m
Milli Savunma Üniversitesi;National Defense University;TR;State University;m;m
İzmir Demokrasi Üniversitesi;İzmir Demokrasi University;TR;State University;m;m
İstanbul Kent Üniversitesi;İstanbul Kent University;TR;State University;m;m
Anglia Ruskin University;Anglia Ruskin University;UK;University;21590;650
Aston University;Aston University;UK;University;13275;330
Bath Spa University;Bath Spa University;UK;University;7850;130
The University of Bath;The University of Bath;UK;University;15675;1230
University of Bedfordshire;University of Bedfordshire;UK;University;13760;240
Birkbeck, University of London;Birkbeck, University of London;UK;University;12160;755
Birmingham City University;Birmingham City University;UK;University;23660;465
University of Birmingham;University of Birmingham;UK;University;32205;2635
University College Birmingham;University College Birmingham;UK;University college;4935;a
Bishop Grosseteste University;Bishop Grosseteste University;UK;University college;2195;30
The University of Bolton;The University of Bolton;UK;University;6190;235
The Arts University Bournemouth;The Arts University Bournemouth;UK;University college;3310;5
Bournemouth University;Bournemouth University;UK;University;19665;535
The University of Bradford;The University of Bradford;UK;University;10665;295
