Institution Name;English Institution Name;Country Code;Institution Category - English;Total students enrolled ISCED 5-7;Total students enrolled at ISCED 8
Université de Fribourg;University of Fribourg;CH;Cantonal University;9330;1317
Université de Genève;University of Geneva;CH;Cantonal University;14498;2567
Université de Lausanne;University of Lausanne;CH;Cantonal University;12281;2172
Universität Luzern;University of Lucerne;CH;Cantonal University;2519;323
Université de Neuchâtel;University of Neuchâtel;CH;Cantonal University;3648;607
Universität Sankt Gallen;University of Sankt Gallen;CH;Cantonal University;8268;671
Universität Zürich;University of Zurich;CH;Cantonal University;20983;5268
Università della Svizzera italiana;Università della Svizzera italiana;CH;Cantonal University;2589;272
Ecole Polytechnique Fédéral de Lausanne;Federal Institute of Technology Lausanne;CH;Federal University of Technology;8212;2099
Eidgenössische Technische Hochschule Zürich;Federal Institute of Technology Zurich;CH;Federal University of Technology;15300;4002
Berner Fachhochschule;Bern University of Applied Sciences;CH;University of Applied Sciences;7164;a
Haute Ecole Spécialisée de la Suisse Occidentale;University of Applied Sciences and Arts Western Switzerland;CH;University of Applied Sciences;20796;a
Fachhochschule Nordwestschweiz;University of Applied Sciences and Arts Northwestern Switzerland;CH;University of Applied Sciences;13136;a
Hochschule Luzern;Lucerne University of Applied Sciences and Arts;CH;University of Applied Sciences;6956;a
Scuola Universitaria Professionale della Svizzera italiana;University of Applied Sciences and Arts of Southern Switzerland;CH;University of Applied Sciences;5221;a
Fachhochschule Ostschweiz;University of Applied Sciences of Eastern Switzerland;CH;University of Applied Sciences;5774;a
Züricher Fachhochschule;Zurich University of Applied Sciences;CH;University of Applied Sciences;21310;a
Kalaidos Fachhochschule;Kalaidos University of Applied Sciences;CH;University of Applied Sciences;2105;a
Haute école pédagogique du Canton de Vaud;Vaud University of Teacher Education;CH;Teacher training university;1982;a
Haute école pédagogique du Valais;Valais University of Teacher Education;CH;Teacher training university;452;a
Haute école pédagogique du Canton de Fribourg;Fribourg University of Teacher Education;CH;Teacher training university;413;a
Haute école pédagogique BEJUNE;University of teacher Education of Bern, Jura and Fribourg;CH;Teacher training university;629;a
Pädagogische Hochschule Bern;Bern University of Teacher education;CH;Teacher training university;2421;a
Interkantonale Hochschule für Heilpädagogik;Zurich inter-cantonal university of applied sciences for special needs education;CH;Teacher training university;1184;a
Pädagogische Hochschule St.Gallen;University of Teacher Education St. Gallen;CH;Teacher training university;1169;a
