uni1,uni2,weight
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI PERUGIA,101
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI PERUGIA,101
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI UDINE,100
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI SIENA,100
UNIVERSITA DEGLI STUDI DI FIRENZE,UNIVERSITA DEGLI STUDI DI FERRARA,100
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI ROMA TRE,100
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,POLITECNICO DI TORINO,99
UNIVERSITA DEGLI STUDI DI FIRENZE,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,99
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,98
UNIVERSITA DEGLI STUDI DI CATANIA,UNIVERSITA DEGLI STUDI DI MILANO,98
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI UDINE,98
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,98
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,98
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,98
UNIVERSITA CATTOLICA DEL SACRO CUORE,UNIVERSITA DEGLI STUDI DI MILANO,97
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI GENOVA,97
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI PAVIA,97
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI SALERNO,96
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI SIENA,95
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI GENOVA,94
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI CATANIA,94
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI SIENA,94
