uni1,uni2,weight
UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI SIENA,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DEL SANNIO,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI FOGGIA,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI TRIESTE,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
ACCADEMIA ALBERTINA DELLE BELLE ARTI,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DELLA CALABRIA,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI PERUGIA,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI TERAMO,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI UDINE,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI CAMERINO,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA CATTOLICA DEL SACRO CUORE,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
ACCADEMIA DI BELLE ARTI DI FROSINONE,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI FIRENZE,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI FERRARA,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA PER STRANIERI DI SIENA,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI NAPOLI PARTHENOPE,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEGLI STUDI DI MILANO,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
UNIVERSITA DEL SALENTO,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
FINE ARTS ACADEMY OF VENICE,ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,1
ACCADEMIA DI BELLE ARTI  MACERATA,ACCADEMIA DI BELLE ARTI DI BARI,1
ACCADEMIA DI BELLE ARTI DI FROSINONE,ACCADEMIA DI BELLE ARTI DI BARI,1
UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,ACCADEMIA DI BELLE ARTI DI BARI,1
SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI CAROLINA ALBASIO,ACCADEMIA DI BELLE ARTI DI BARI,1
UNIVERSITA IUAV DI VENEZIA,ACCADEMIA DI BELLE ARTI DI BARI,1
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,ACCADEMIA DI BELLE ARTI DI BARI,1
UNIVERSITA DEGLI STUDI DI ENNA KORE,ACCADEMIA DI BELLE ARTI DI BARI,1
UNIVERSITA DEGLI STUDI DEL MOLISE,ACCADEMIA DI BELLE ARTI DI BARI,1
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,ACCADEMIA DI BELLE ARTI DI BARI,1
UNIVERSITA PER STRANIERI DI PERUGIA,ACCADEMIA DI BELLE ARTI DI BARI,1
UNIVERSITA CARLO CATTANEO  LIUC,ACCADEMIA DI BELLE ARTI DI BARI,1
ACCADEMIA DI BELLE ARTI DI CARRARA,ACCADEMIA DI BELLE ARTI DI BARI,1
UNIVERSITA DEGLI STUDI DI MACERATA,ACCADEMIA DI BELLE ARTI DI BARI,1
UNIVERSITA DEGLI STUDI DEL SANNIO,ACCADEMIA DI BELLE ARTI DI BARI,1
UNIVERSITA DELLA VALLE DAOSTA,ACCADEMIA DI BELLE ARTI DI BARI,1
LINK CAMPUS UNIVERSITY,ACCADEMIA DI BELLE ARTI DI BARI,1
ACCADEMIA DI BELLE ARTI DI FIRENZE,ACCADEMIA DI BELLE ARTI DI BARI,1
CONSERVATORIO STATALE DI MUSICA L PEROSI CAMPOBASSO,ACCADEMIA DI BELLE ARTI DI BARI,1
CONSERVATORIO DI MUSICA L REFICE,ACCADEMIA DI BELLE ARTI DI BARI,1
FINE ARTS ACADEMY OF VENICE,FONDAZIONE SCUOLA DI MUSICA DI FIESOLE ONLUS,1
CONSERVATORIO DI MUSICA SANTA CECILIA,FONDAZIONE SCUOLA DI MUSICA DI FIESOLE ONLUS,1
CONSERVATORIO DI MUSICA GIUSEPPE TARTINI,FONDAZIONE SCUOLA DI MUSICA DI FIESOLE ONLUS,1
CONSERVATORIO STATALE DI MUSICA NICCOLÒ PAGANINI,FONDAZIONE SCUOLA DI MUSICA DI FIESOLE ONLUS,1
CONSERVATORIO DI MUSICA F CILEA,FONDAZIONE SCUOLA DI MUSICA DI FIESOLE ONLUS,1
INSTITUTO SUPERIORE DI STDUDI MUSICALI  CONSERVATORIO DI MUSICA GIORGIO FEDERICO GHEDINI DI CUNEO,FONDAZIONE SCUOLA DI MUSICA DI FIESOLE ONLUS,1
CONSERVATORIO STATALE DI MUSICA GROSSINI,FONDAZIONE SCUOLA DI MUSICA DI FIESOLE ONLUS,1
CONSERVATORIO DI MUSICA FRANCESCO VENEZZE,FONDAZIONE SCUOLA DI MUSICA DI FIESOLE ONLUS,1
CONSERVATORIO DI MUSICA A CORELLI MESSINA,FONDAZIONE SCUOLA DI MUSICA DI FIESOLE ONLUS,1
CONSERVATORIO DI MUSICA GBMARTINI,FONDAZIONE SCUOLA DI MUSICA DI FIESOLE ONLUS,1
ACCADEMIA DI BELLE ARTI DI ROMA,UNIVERSITA DEGLI STUDI EUROPEA,1
FINE ARTS ACADEMY OF VENICE,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA PER STRANIERI DI PERUGIA,UNIVERSITA DEGLI STUDI EUROPEA,1
ACCADEMIA DI BELLE ARTI DI BOLOGNA,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI EUROPEA,1
ACCADEMIA DI BELLE ARTI DI CARRARA,UNIVERSITA DEGLI STUDI EUROPEA,1
ACCADEMIA DI BELLE ARTI DI BRERA,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA DEGLI STUDI DEL SANNIO,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA DELLA VALLE DAOSTA,UNIVERSITA DEGLI STUDI EUROPEA,1
ACCADEMIA ALBERTINA DELLE BELLE ARTI,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA DELLA CALABRIA,UNIVERSITA DEGLI STUDI EUROPEA,1
LIBERA UNIVERSITA DI BOLZANO,UNIVERSITA DEGLI STUDI EUROPEA,1
LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM,UNIVERSITA DEGLI STUDI EUROPEA,1
ACCADEMIA DI BELLE ARTI DI NAPOLI,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA PER STRANIERI DI SIENA,UNIVERSITA DEGLI STUDI EUROPEA,1
LINK CAMPUS UNIVERSITY,UNIVERSITA DEGLI STUDI EUROPEA,1
ACCADEMIA DI BELLE ARTI DI FIRENZE,UNIVERSITA DEGLI STUDI EUROPEA,1
ACCADEMIA DI BELLE ARTI DI BARI,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO,UNIVERSITA DEGLI STUDI EUROPEA,1
SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI CAROLINA ALBASIO,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA DEGLI STUDI DI ENNA KORE,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA DEGLI STUDI DI BRESCIA,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA COMMERCIALE LUIGI BOCCONI,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA POLITECNICA DELLE MARCHE,UNIVERSITA DEGLI STUDI EUROPEA,1
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,UNIVERSITA DEGLI STUDI EUROPEA,1
ACCADEMIA DI BELLE ARTI GIACOMO CARRARA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
UNIVERSITA DEGLI STUDI GUGLIELMO MARCONI  TELEMATICA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
UNIVERSITÀ DEGLI STUDI GIUSTINO FORTUNATO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
CONSERVATORIO DI MUSICA DI LECCE  TITO SCHIPA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
CONSERVATORIO DI MUSICA GBMARTINI,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
CONSERVATORIO DI ADRIA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
NABA NUOVA ACCADEMIA DI BELLE ARTI MILANO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
EUROPEAN UNIVERSITY INSTITUTE,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
CONSERVATORIO STATALE DI MUSICA UMBERTO GIORDANO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
ACCADEMIA DI BELLE ARTI DI FROSINONE,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
ACCADEMIA DI BELLE ARTI MARIO SIRONI,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
ACCADEMIA DI BELLE ARTI LAQUILA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
ACCADEMIA NAZIONALE DI DANZA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
CONSERVATORIO STATALE DI MUSICA DOMENICO CIMAROSA DI AVELLINO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
CONSERVATORIO DI COMO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,1
CONSERVATORIO STATALE DI MUSICA BRUNO MADERNA,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
CONSERVATORIO DI MUSICA LUCIO CAMPIANI MANTOVA,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
UNIVERSITA DEGLI STUDI DI TRENTO,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
UNIVERSITA DI PISA,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
UNIVERSITA POLITECNICA DELLE MARCHE,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
UNIVERSITA CARLO CATTANEO  LIUC,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
UNIVERSITA CATTOLICA DEL SACRO CUORE,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
CONSERVATORIO DI MUSICA GIUSEPPE TARTINI,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
CONSERVATORIO DI COMO,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
CONSERVATORIO DI MUSICA A CORELLI MESSINA,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
CONSERVATORIO DI MUSICA DI LECCE  TITO SCHIPA,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
CONSERVATORIO DI MUSICA NICCOLÒ PICCINNI  BARI,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
CONSERVATORIO STATALE DI MUSICA E F DALLABACO,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
ISTITUTO SUPERIORE DI STUDI MUSICALI G BRICCIALDI TERNI,CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,1
UNIVERSITA DEGLI STUDI DI MACERATA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNITELMA SAPIENZA UNIVERSITA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DI BERGAMO,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA POLITECNICA DELLE MARCHE,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DELLA TUSCIA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
ACCADEMIA DI BELLE ARTI DI CARRARA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DEL SANNIO,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DI TRIESTE,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
ACCADEMIA ALBERTINA DELLE BELLE ARTI,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DI CAMERINO,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
ACCADEMIA DI BELLE ARTI DI NAPOLI,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
ACCADEMIA DI BELLE ARTI DI FROSINONE,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DI MILANO,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
ACCADEMIA DI BELLE ARTI REGGIO CALABRIA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI CIELS,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DELLINSUBRIA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA CA FOSCARI VENEZIA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
FONDAZIONE ACCADEMIA DI BELLE ARTI P VANNUCCI,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
LIBERA UNIVERSITA MARIA SS ASSUNTA DI ROMA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DELLA BASILICATA,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
IUM ACADEMY SCHOOL,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DI ENNA KORE,FONDAZIONE UNICAMPUS SAN PELLEGRINO,1
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,1
UNIVERSITA DEGLI STUDI DI BERGAMO,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,1
UNIVERSITA DEGLI STUDI DI TORINO,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,1
UNIVERSITA DEGLI STUDI DELLA TUSCIA,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,1
POLITECNICO DI MILANO,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,1
UNIVERSITA POLITECNICA DELLE MARCHE,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,1
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,1
UNIVERSITA DEGLI STUDI DI PARMA,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,1
UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,1
UNIVERSITA DEGLI STUDI DI PALERMO,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,1
CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
POLITECNICO DI MILANO,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
UNIVERSITA DEGLI STUDI DI PADOVA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
POLITECNICO DI TORINO,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
UNIVERSITA DEGLI STUDI DI CATANIA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
UNIVERSITA DEGLI STUDI DI UDINE,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
UNIVERSITA DEGLI STUDI DI CAMERINO,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
UNIVERSITA DEGLI STUDI DI FERRARA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
UNIVERSITA DEL SALENTO,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
UNIVERSITA DEGLI STUDI DI BRESCIA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
CONSERVATORIO STATALE DI MUSICA LUISA DANNUNZIO,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
CONSERVATORIO DI MUSICA A CORELLI MESSINA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
CONSERVATORIO STATALE DI MUSICA ASTEFFANI,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
CONSERVATORIO DI MUSICA GBMARTINI,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
ACCADEMIA DI BELLE ARTI DI BRERA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
CONSERVATORIO STATALE DI MUSICA BRUNO MADERNA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
CONSERVATORIO STATALE DI MUSICA V BELLINI PALERMO,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
ACCADEMIA DI BELLE ARTI GIACOMO CARRARA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
CONSERVATORIO DI MUSICA CLAUDIO MONTEVERDI MUSIKKONSERVATORIUM BOLZANOBOZEN,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
CONSERVATORIO STATALE DI MUSICA NICCOLÒ PAGANINI,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
CONSERVATORIO SAN PIETRO A MAJELLA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
ACCADEMIA DI BELLE ARTI DI BOLOGNA,CONSERVATORIO DI MUSICA GVERDI DI MILANO,1
UNIVERSITA DEGLI STUDI DI TRENTO,CONSERVATORIO DI MUSICA DI PERUGIA,1
UNIVERSITA DEGLI STUDI DI PADOVA,CONSERVATORIO DI MUSICA DI PERUGIA,1
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,CONSERVATORIO DI MUSICA DI PERUGIA,1
POLITECNICO DI TORINO,CONSERVATORIO DI MUSICA DI PERUGIA,1
CONSERVATORIO STATALE DI MUSICA NICCOLÒ PAGANINI,CONSERVATORIO DI MUSICA DI PERUGIA,1
CONSERVATORIO STATALE DI MUSICA GB PERGOLESI  FERMO,CONSERVATORIO DI MUSICA DI PERUGIA,1
CONSERVATORIO DI MUSICA LUIGI CHERUBINI,LABA SRL,1
UNIVERSITA DEGLI STUDI DI CAMERINO,LABA SRL,1
UNIVERSITA DEL SALENTO,LABA SRL,1
CONSERVATORIO DI MUSICA GVERDI DI MILANO,LABA SRL,1
ACCADEMIA DI BELLE ARTI DI URBINO,LABA SRL,1
UNIVERSITA DELLA CALABRIA,LABA SRL,1
UNIVERSITA CA FOSCARI VENEZIA,LABA SRL,1
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,LABA SRL,1
UNIVERSITA POLITECNICA DELLE MARCHE,LABA SRL,1
UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,LABA SRL,1
UNIVERSITA DEGLI STUDI DEL MOLISE,LABA SRL,1
UNIVERSITA DEGLI STUDI DI VERONA,LABA SRL,1
UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO,LABA SRL,1
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,LABA SRL,1
UNIVERSITA DEGLI STUDI ROMA TRE,LABA SRL,1
LIBERA UNIVERSITA DI BOLZANO,LABA SRL,1
UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA,LABA SRL,1
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,LABA SRL,1
UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,LABA SRL,1
UNIVERSITA DEGLI STUDI DI TRENTO,LABA SRL,1
UNIVERSITA DEGLI STUDI DI CAGLIARI,LABA SRL,1
UNIVERSITA DEGLI STUDI DI SALERNO,LABA SRL,1
UNIVERSITA DEGLI STUDI DELLINSUBRIA,LABA SRL,1
UNIVERSITA DEGLI STUDI DI FOGGIA,LABA SRL,1
LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM,LABA SRL,1
ACCADEMIADI BELLE ARTI DI CATANIA,LABA SRL,1
ACCADEMIA DI BELLE ARTI LAQUILA,LABA SRL,1
ACCADEMIA ALBERTINA DELLE BELLE ARTI,LABA SRL,1
FINE ARTS ACADEMY OF VENICE,LABA SRL,1
CONSERVATORIO DI MUSICA STANISLAO GIACOMANTONIO,CONSERVATORIO STATALE DI MUSICA GIUSEPPE VERDI TORINO,1
CONSERVATORIO DI MUSICA A CORELLI MESSINA,CONSERVATORIO STATALE DI MUSICA GIUSEPPE VERDI TORINO,1
CONSERVATORIO STATALE DI MUSICA ASTEFFANI,CONSERVATORIO STATALE DI MUSICA GIUSEPPE VERDI TORINO,1
CONSERVATORIO STATALE DI MUSICA E F DALLABACO,CONSERVATORIO STATALE DI MUSICA GIUSEPPE VERDI TORINO,1
CONSERVATORIO DI MUSICA GVERDI DI MILANO,CONSERVATORIO STATALE DI MUSICA GIUSEPPE VERDI TORINO,1
CONSERVATORIO DI MUSICA GIUSEPPE TARTINI,CONSERVATORIO STATALE DI MUSICA GIUSEPPE VERDI TORINO,1
CONSERVATORIO DI COMO,CONSERVATORIO STATALE DI MUSICA GIUSEPPE VERDI TORINO,1
CONSERVATORIO DI MUSICA FA BONPORTI DI TRENTO,CONSERVATORIO STATALE DI MUSICA GIUSEPPE VERDI TORINO,1
CONSERVATORIO DI MUSICA FRANCESCO VENEZZE,CONSERVATORIO STATALE DI MUSICA GIUSEPPE VERDI TORINO,1
CONSERVATORIO DI MUSICA ALFREDO CASELLA,CONSERVATORIO STATALE DI MUSICA GIUSEPPE VERDI TORINO,1
CONSERVATORIO DI ADRIA,CONSERVATORIO STATALE DI MUSICA GIUSEPPE VERDI TORINO,1
CONSERVATORIO DI MUSICA SANTA CECILIA,ISTITUTO SUPERIORE DI STUDI MUSICALI RINALDO FRANCI,1
CONSERVATORIO DI MUSICA DI LECCE  TITO SCHIPA,ISTITUTO SUPERIORE DI STUDI MUSICALI RINALDO FRANCI,1
CONSERVATORIO STATALE DI MUSICA GB PERGOLESI  FERMO,ISTITUTO SUPERIORE DI STUDI MUSICALI RINALDO FRANCI,1
CONSERVATORIO DI MUSICA DI PERUGIA,ISTITUTO SUPERIORE DI STUDI MUSICALI RINALDO FRANCI,1
ISSM P MASCAGNI,ISTITUTO SUPERIORE DI STUDI MUSICALI RINALDO FRANCI,1
ACCADEMIA DI BELLE ARTI DI FROSINONE,ACCADEMIA DI BELLE ARTI DE ROMA,1
CONSERVATORIO DI MUSICA GBMARTINI,ACCADEMIA DI BELLE ARTI DE ROMA,1
NABA NUOVA ACCADEMIA DI BELLE ARTI MILANO,ACCADEMIA DI BELLE ARTI DE ROMA,1
UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA,ACCADEMIA DI BELLE ARTI DE ROMA,1
IUM ACADEMY SCHOOL,ACCADEMIA DI BELLE ARTI DE ROMA,1
SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI CIELS,ACCADEMIA DI BELLE ARTI DE ROMA,1
UNIVERSITA CARLO CATTANEO  LIUC,ACCADEMIA DI BELLE ARTI DE ROMA,1
UNIVERSITA DELLA VALLE DAOSTA,ACCADEMIA DI BELLE ARTI DE ROMA,1
LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM,ACCADEMIA DI BELLE ARTI DE ROMA,1
LINK CAMPUS UNIVERSITY,ACCADEMIA DI BELLE ARTI DE ROMA,1
UNIVERSITA DEGLI STUDI EUROPEA,ACCADEMIA DI BELLE ARTI DE ROMA,1
UNIVERSITA COMMERCIALE LUIGI BOCCONI,ACCADEMIA DI BELLE ARTI DE ROMA,1
UNIVERSITA DEGLI STUDI DI MESSINA,SSML VITTORIA,1
UNIVERSITA DEGLI STUDI DELLINSUBRIA,SSML VITTORIA,1
UNIVERSITA DEL SALENTO,SSML VITTORIA,1
UNIVERSITA DEGLI STUDI DI TRENTO,SSML VITTORIA,1
UNIVERSITA DI PISA,SSML VITTORIA,1
UNIVERSITA DEGLI STUDI DI VERONA,SSML VITTORIA,1
